"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2023","2,586.85","2,582.00","2,599.90","2,573.10","4.60M","0.34%"
"12/26/2023","2,578.05","2,568.00","2,591.95","2,562.70","3.73M","0.51%"
"12/22/2023","2,565.05","2,559.60","2,580.90","2,547.65","8.27M","0.10%"
"12/21/2023","2,562.55","2,527.00","2,573.50","2,518.25","6.88M","1.40%"
"12/20/2023","2,527.15","2,571.05","2,598.85","2,520.00","8.87M","-1.21%"
"12/19/2023","2,558.10","2,555.00","2,573.90","2,525.20","8.41M","1.47%"
"12/18/2023","2,521.00","2,495.60","2,534.90","2,490.95","7.08M","1.02%"
"12/15/2023","2,495.60","2,478.00","2,500.00","2,470.05","7.97M","1.28%"
"12/14/2023","2,464.15","2,454.00","2,474.95","2,442.65","8.49M","1.24%"
"12/13/2023","2,433.95","2,422.00","2,438.35","2,406.30","5.02M","0.41%"
"12/12/2023","2,424.05","2,460.00","2,464.95","2,420.15","4.60M","-1.44%"
"12/11/2023","2,459.35","2,456.00","2,467.60","2,452.40","3.53M","0.15%"
"12/08/2023","2,455.75","2,463.85","2,476.70","2,445.00","5.10M","-0.05%"
"12/07/2023","2,457.05","2,460.00","2,460.95","2,442.00","4.07M","-0.16%"
"12/06/2023","2,461.10","2,447.10","2,472.95","2,435.00","8.21M","0.96%"
"12/05/2023","2,437.75","2,439.00","2,440.85","2,421.65","6.35M","0.73%"
"12/04/2023","2,420.20","2,450.00","2,450.00","2,398.60","7.80M","1.08%"
"12/01/2023","2,394.30","2,378.00","2,396.40","2,377.60","7.17M","0.71%"
"11/30/2023","2,377.45","2,394.70","2,400.70","2,369.90","14.22M","-0.97%"
"11/29/2023","2,400.70","2,408.00","2,411.95","2,398.05","6.27M","0.26%"
"11/28/2023","2,394.40","2,393.90","2,399.70","2,375.25","6.90M","0.02%"
"11/24/2023","2,393.90","2,391.60","2,402.60","2,391.05","3.37M","-0.07%"
"11/23/2023","2,395.50","2,388.20","2,400.00","2,388.20","4.27M","0.31%"
"11/22/2023","2,388.20","2,375.00","2,394.45","2,372.20","4.27M","0.39%"
